algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,status,error_message,repetition,hyper_params_id,hyper_params,train_main_time,train_preprocess_time,train_postprocess_time,execute_main_time,execute_preprocess_time,execute_postprocess_time,ROC_AUC
Fast-MCD,skab,other_13,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,4329c14cc18b90be6d9bd752ca7ab93f,"{""support_fraction"": 0.9}",2.746213436126709,,,1.8316152095794678,,,0.9246627876223221
Fast-MCD,skab,other_14,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,4329c14cc18b90be6d9bd752ca7ab93f,"{""support_fraction"": 0.9}",2.6126222610473633,,,1.8822484016418457,,,0.7930177592489249
Fast-MCD,skab,other_15,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,4329c14cc18b90be6d9bd752ca7ab93f,"{""support_fraction"": 0.9}",2.5213654041290283,,,1.903869867324829,,,0.6609515086278941
Fast-MCD,skab,other_16,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,4329c14cc18b90be6d9bd752ca7ab93f,"{""support_fraction"": 0.9}",2.591758966445923,,,1.7960052490234375,,,0.567319703611747
Fast-MCD,skab,other_17,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,4329c14cc18b90be6d9bd752ca7ab93f,"{""support_fraction"": 0.9}",2.630051851272583,,,1.8184707164764404,,,0.5185303770111263
Fast-MCD,skab,other_18,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,4329c14cc18b90be6d9bd752ca7ab93f,"{""support_fraction"": 0.9}",2.636077880859375,,,1.8033912181854248,,,0.6876150874162164
Fast-MCD,skab,other_19,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,4329c14cc18b90be6d9bd752ca7ab93f,"{""support_fraction"": 0.9}",2.709207057952881,,,1.8633251190185547,,,0.6618640688070117
Fast-MCD,skab,other_20,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,4329c14cc18b90be6d9bd752ca7ab93f,"{""support_fraction"": 0.9}",2.665252685546875,,,1.8415849208831787,,,0.7304248816443938
Fast-MCD,skab,other_21,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,4329c14cc18b90be6d9bd752ca7ab93f,"{""support_fraction"": 0.9}",2.6568291187286377,,,1.9510602951049805,,,0.45806092875918314
Fast-MCD,skab,other_22,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,4329c14cc18b90be6d9bd752ca7ab93f,"{""support_fraction"": 0.9}",2.6267971992492676,,,1.7772798538208008,,,0.32586701745993785
Fast-MCD,skab,valve1_0,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,4329c14cc18b90be6d9bd752ca7ab93f,"{""support_fraction"": 0.9}",2.557405471801758,,,1.7768161296844482,,,0.9079309757734179
Fast-MCD,skab,valve1_1,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,4329c14cc18b90be6d9bd752ca7ab93f,"{""support_fraction"": 0.9}",2.6184964179992676,,,1.8486411571502686,,,0.7685328405080922
Fast-MCD,skab,valve1_10,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,4329c14cc18b90be6d9bd752ca7ab93f,"{""support_fraction"": 0.9}",2.4232778549194336,,,1.7280454635620117,,,0.9864399404174129
Fast-MCD,skab,valve1_11,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,4329c14cc18b90be6d9bd752ca7ab93f,"{""support_fraction"": 0.9}",2.706141471862793,,,1.8574175834655762,,,0.8563254497429558
Fast-MCD,skab,valve1_12,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,4329c14cc18b90be6d9bd752ca7ab93f,"{""support_fraction"": 0.9}",2.5133965015411377,,,1.7655282020568848,,,0.9655582951981844
